TIMESTAMP,vibration,sensor
2024-09-30 04:50:56.926085,moderate,V1
2024-09-30 04:50:57.926085,moderate,V1
2024-09-30 04:50:58.926085,low,V1
2024-09-30 04:50:59.926085,moderate,V1
2024-09-30 04:51:00.926085,moderate,V1
2024-09-30 04:51:01.926085,moderate,V1
2024-09-30 04:51:02.926085,low,V1
2024-09-30 04:51:03.926085,moderate,V1
2024-09-30 04:51:04.926085,moderate,V1
2024-09-30 04:51:05.926085,moderate,V1
2024-09-30 04:51:06.926085,low,V1
2024-09-30 04:51:07.926085,moderate,V1
2024-09-30 04:51:08.926085,moderate,V1
2024-09-30 04:51:09.926085,high,V1
2024-09-30 04:51:10.926085,moderate,V1
2024-09-30 04:51:11.926085,moderate,V1
2024-09-30 04:51:12.926085,moderate,V1
2024-09-30 04:51:13.926085,moderate,V1
2024-09-30 04:51:14.926085,high,V1
2024-09-30 04:51:15.926085,moderate,V1
2024-09-30 04:51:16.926085,moderate,V1
2024-09-30 04:51:17.926085,moderate,V1
2024-09-30 04:51:18.926085,moderate,V1
2024-09-30 04:51:19.926085,moderate,V1
2024-09-30 04:51:20.926085,moderate,V1
2024-09-30 04:51:21.926085,low,V1
2024-09-30 04:51:22.926085,high,V1
2024-09-30 04:51:23.926085,low,V1
2024-09-30 04:51:24.926085,low,V1
2024-09-30 04:51:25.926085,moderate,V1
2024-09-30 04:51:26.926085,high,V1
2024-09-30 04:51:27.926085,low,V1
2024-09-30 04:51:28.926085,low,V1
2024-09-30 04:51:29.926085,high,V1
2024-09-30 04:51:30.926085,moderate,V1
2024-09-30 04:51:31.926085,high,V1
2024-09-30 04:51:32.926085,low,V1
2024-09-30 04:51:33.926085,low,V1
2024-09-30 04:51:34.926085,high,V1
2024-09-30 04:51:35.926085,moderate,V1
2024-09-30 04:51:36.926085,moderate,V1
2024-09-30 04:51:37.926085,moderate,V1
2024-09-30 04:51:38.926085,moderate,V1
2024-09-30 04:51:39.926085,low,V1
2024-09-30 04:51:40.926085,moderate,V1
2024-09-30 04:51:41.926085,moderate,V1
2024-09-30 04:51:42.926085,low,V1
2024-09-30 04:51:43.926085,moderate,V1
2024-09-30 04:51:44.926085,moderate,V1
2024-09-30 04:51:45.926085,moderate,V1
2024-09-30 04:51:46.926085,low,V1
2024-09-30 04:51:47.926085,low,V1
2024-09-30 04:51:48.926085,low,V1
2024-09-30 04:51:49.926085,low,V1
2024-09-30 04:51:50.926085,high,V1
2024-09-30 04:51:51.926085,high,V1
2024-09-30 04:51:52.926085,moderate,V1
2024-09-30 04:51:53.926085,moderate,V1
2024-09-30 04:51:54.926085,low,V1
2024-09-30 04:51:55.926085,moderate,V1
2024-09-30 04:51:56.926085,low,V1
2024-09-30 04:51:57.926085,moderate,V1
2024-09-30 04:51:58.926085,moderate,V1
2024-09-30 04:51:59.926085,high,V1
2024-09-30 04:52:00.926085,low,V1
2024-09-30 04:52:01.926085,moderate,V1
2024-09-30 04:52:02.926085,high,V1
2024-09-30 04:52:03.926085,moderate,V1
2024-09-30 04:52:04.926085,moderate,V1
2024-09-30 04:52:05.926085,low,V1
2024-09-30 04:52:06.926085,high,V1
2024-09-30 04:52:07.926085,moderate,V1
2024-09-30 04:52:08.926085,moderate,V1
2024-09-30 04:52:09.926085,high,V1
2024-09-30 04:52:10.926085,moderate,V1
2024-09-30 04:52:11.926085,moderate,V1
2024-09-30 04:52:12.926085,moderate,V1
2024-09-30 04:52:13.926085,moderate,V1
2024-09-30 04:52:14.926085,moderate,V1
2024-09-30 04:52:15.926085,low,V1
2024-09-30 04:52:16.926085,low,V1
2024-09-30 04:52:17.926085,low,V1
2024-09-30 04:52:18.926085,moderate,V1
2024-09-30 04:52:19.926085,moderate,V1
2024-09-30 04:52:20.926085,moderate,V1
2024-09-30 04:52:21.926085,high,V1
2024-09-30 04:52:22.926085,low,V1
2024-09-30 04:52:23.926085,low,V1
2024-09-30 04:52:24.926085,low,V1
2024-09-30 04:52:25.926085,low,V1
2024-09-30 04:52:26.926085,low,V1
2024-09-30 04:52:27.926085,high,V1
2024-09-30 04:52:28.926085,high,V1
2024-09-30 04:52:29.926085,low,V1
2024-09-30 04:52:30.926085,low,V1
2024-09-30 04:52:31.926085,low,V1
2024-09-30 04:52:32.926085,moderate,V1
2024-09-30 04:52:33.926085,moderate,V1
2024-09-30 04:52:34.926085,high,V1
2024-09-30 04:52:35.926085,low,V1
2024-09-30 04:52:36.926085,high,V1
2024-09-30 04:52:37.926085,low,V1
2024-09-30 04:52:38.926085,low,V1
2024-09-30 04:52:39.926085,low,V1
2024-09-30 04:52:40.926085,low,V1
2024-09-30 04:52:41.926085,moderate,V1
2024-09-30 04:52:42.926085,high,V1
2024-09-30 04:52:43.926085,moderate,V1
2024-09-30 04:52:44.926085,low,V1
2024-09-30 04:52:45.926085,high,V1
2024-09-30 04:52:46.926085,high,V1
2024-09-30 04:52:47.926085,moderate,V1
2024-09-30 04:52:48.926085,moderate,V1
2024-09-30 04:52:49.926085,moderate,V1
2024-09-30 04:52:50.926085,low,V1
2024-09-30 04:52:51.926085,moderate,V1
2024-09-30 04:52:52.926085,moderate,V1
2024-09-30 04:52:53.926085,moderate,V1
2024-09-30 04:52:54.926085,low,V1
2024-09-30 04:52:55.926085,moderate,V1
2024-09-30 04:52:56.926085,moderate,V1
2024-09-30 04:52:57.926085,low,V1
2024-09-30 04:52:58.926085,low,V1
2024-09-30 04:52:59.926085,moderate,V1
2024-09-30 04:53:00.926085,low,V1
2024-09-30 04:53:01.926085,high,V1
2024-09-30 04:53:02.926085,low,V1
2024-09-30 04:53:03.926085,moderate,V1
2024-09-30 04:53:04.926085,low,V1
2024-09-30 04:53:05.926085,moderate,V1
2024-09-30 04:53:06.926085,moderate,V1
2024-09-30 04:53:07.926085,moderate,V1
2024-09-30 04:53:08.926085,moderate,V1
2024-09-30 04:53:09.926085,low,V1
2024-09-30 04:53:10.926085,moderate,V1
2024-09-30 04:53:11.926085,moderate,V1
2024-09-30 04:53:12.926085,high,V1
2024-09-30 04:53:13.926085,low,V1
2024-09-30 04:53:14.926085,moderate,V1
2024-09-30 04:53:15.926085,moderate,V1
2024-09-30 04:53:16.926085,low,V1
