Weather_Alert,TIMESTAMP
Blizzard Warning,2024-10-01 02:10:38.509150
Heavy Rainfall Alert,2024-10-01 06:10:38.509150
Tornado Warning,2024-10-01 08:10:38.509150
Thunderstorm Watch,2024-10-01 14:10:38.509150
Flood Watch,2024-10-01 10:10:38.509150
High Wind Alert,2024-10-01 07:10:38.509150
Heatwave Warning,2024-10-01 20:10:38.509150
Thunderstorm Watch,2024-10-01 23:10:38.509150
Heatwave Warning,2024-10-01 10:10:38.509150
High Wind Alert,2024-10-03 08:10:38.509150
Thunderstorm Watch,2024-10-02 08:10:38.509150
Hailstorm Warning,2024-10-05 16:10:38.509150
Hailstorm Warning,2024-10-04 02:10:38.509150
Thunderstorm Watch,2024-10-05 10:10:38.509150
Hailstorm Warning,2024-10-06 08:10:38.509150
Heavy Rainfall Alert,2024-10-06 02:10:38.509150
High Wind Alert,2024-10-07 02:10:38.509150
Thunderstorm Watch,2024-10-08 04:10:38.509150
Heatwave Warning,2024-10-07 02:10:38.509150
Heatwave Warning,2024-10-02 16:10:38.509150
Heavy Rainfall Alert,2024-10-03 14:10:38.509150
Blizzard Warning,2024-10-04 14:10:38.509150
Flood Watch,2024-10-09 08:10:38.509150
Heatwave Warning,2024-10-03 00:10:38.509150
Heatwave Warning,2024-10-08 02:10:38.509150
Hailstorm Warning,2024-10-04 05:10:38.509150
Flood Watch,2024-10-08 16:10:38.509150
Hailstorm Warning,2024-10-07 20:10:38.509150
Hailstorm Warning,2024-10-10 10:10:38.509150
Heatwave Warning,2024-10-08 08:10:38.509150
Tornado Warning,2024-10-02 08:10:38.509150
Thunderstorm Watch,2024-10-14 00:10:38.509150
Tornado Warning,2024-10-09 02:10:38.509150
Blizzard Warning,2024-10-06 14:10:38.509150
Thunderstorm Watch,2024-10-15 06:10:38.509150
Tornado Warning,2024-10-11 07:10:38.509150
Tornado Warning,2024-10-04 02:10:38.509150
Flood Watch,2024-10-05 17:10:38.509150
Heatwave Warning,2024-10-12 04:10:38.509150
Heatwave Warning,2024-10-12 11:10:38.509150
Heatwave Warning,2024-10-14 10:10:38.509150
Heatwave Warning,2024-10-06 05:10:38.509150
High Wind Alert,2024-10-02 20:10:38.509150
Heavy Rainfall Alert,2024-10-19 00:10:38.509150
Tornado Warning,2024-10-17 14:10:38.509150
Blizzard Warning,2024-10-10 11:10:38.509150
Heatwave Warning,2024-10-12 14:10:38.509150
Blizzard Warning,2024-10-05 00:10:38.509150
Heatwave Warning,2024-10-11 02:10:38.509150
Heatwave Warning,2024-10-15 09:10:38.509150
Hailstorm Warning,2024-10-11 12:10:38.509150
Tornado Warning,2024-10-22 08:10:38.509150
Flood Watch,2024-10-07 14:10:38.509150
Tornado Warning,2024-10-18 18:10:38.509150
High Wind Alert,2024-10-03 08:10:38.509150
Heatwave Warning,2024-10-24 00:10:38.509150
Heatwave Warning,2024-10-15 02:10:38.509150
Tornado Warning,2024-10-08 05:10:38.509150
Tornado Warning,2024-10-20 10:10:38.509150
Heatwave Warning,2024-10-08 11:10:38.509150
Blizzard Warning,2024-10-16 02:10:38.509150
Tornado Warning,2024-10-21 10:10:38.509150
Tornado Warning,2024-10-06 06:10:38.509150
Heavy Rainfall Alert,2024-10-27 08:10:38.509150
Flood Watch,2024-10-19 18:10:38.509150
Flood Watch,2024-10-09 05:10:38.509150
Flood Watch,2024-10-20 08:10:38.509150
Heatwave Warning,2024-10-17 20:10:38.509150
